Matched Sentences,NLI Topic,label
"Adjusted EBITDA was greater than $45 million, beating our expectations and prior guidance.",This text is about a weak consumer or reduced consumption.,
The proceeds from the green bonds issued by ETB and Eurogrid are allocated towards financing the CapEx programs and facilitating the energy transition.,This text is about a weak consumer or reduced consumption.,
"And at IHOP, we're expecting pricing to remain steady in the range of flat to low single-digit inflation.",This text is about a weak consumer or reduced consumption.,
We are rapidly expanding distribution of our recently launched Tylenol Easy to Swallow across key retailers and are amplifying this innovation with increased advertising spend and an impactful omni-channel approach with our Greatness Hurts campaign.,This text is about a weak consumer or reduced consumption.,
"The new-to-market iced lattes offer cafe-style beverages at home, making inroads with younger consumers.",This text is about a strong consumer or increased consumption.,
2023's factory successes included commissioning our robotic body shop and paint shop equipment and streamlining our vehicle assembly process to increase throughput capability.,This text is about a weak consumer or reduced consumption.,
"Within this context, we are very encouraged by our ongoing share gains and our continued ability to outpace the category.",This text is about a strong consumer or increased consumption.,
This is regulated and unregulated transit business.,This text is about a weak consumer or reduced consumption.,
The year-over-year change relates principally to an increase of approximately 30 basis points in the portfolio's weighted average cap rate from Q1 of 2023.,This text is about a strong consumer or increased consumption.,
With the recent acquisition of Woolf Distributing contributing $31.4 million and helping to offset a 3.7% decline in organic sales.,This text is about a weak consumer or reduced consumption.,
Compliance regulations kick off in April.,This text is about a strong consumer or increased consumption.,
Adjusted EBITDA is also a non-GAAP financial measure.,This text is about a strong consumer or increased consumption.,
"In 2023, Dine system sales reached over $7.9 billion, demonstrating the scale that our brands collectively have.",This text is about a weak consumer or reduced consumption.,
"And now, I'll turn the call over to Katie for her opening remarks.",This text is about a strong consumer or increased consumption.,
"In total, we are targeting over $150 million in operational savings with an even larger funnel of opportunity.",This text is about a strong consumer or increased consumption.,
We've also seen steadily increasing outbound fill rates.,This text is about a strong consumer or increased consumption.,
It is in the early innings of increasing electrification demand.,This text is about a weak consumer or reduced consumption.,
"The breakdown of our current deposits is as follows: money market and savings, 34%; certificates of deposit, 25%; interest-bearing demand deposits, 20%; noninterest-bearing demand deposits, 21%.",This text is about a strong consumer or increased consumption.,
"We ended the year with a very strong capital position and all our capital ratios expanded from September 30, 2023.",This text is about a strong consumer or increased consumption.,
The combined impact of which should support a double-digit underlying pace of growth for the remainder of 2024.,This text is about a weak consumer or reduced consumption.,
"And then with regards to disposals at H1, £10 million of the £50 million target has been delivered.",This text is about a weak consumer or reduced consumption.,
It's also important to note here that we're developing the core underlying technology and data structures to efficiently allow consumers to converse with their money.,This text is about a weak consumer or reduced consumption.,
"For the credit cards, the yield is also inching upwards.",This text is about a weak consumer or reduced consumption.,
"In nominal terms, Q1 2024's cost was BRL 40 million lower than Q4 2023.",This text is about a weak consumer or reduced consumption.,
"However, we're very pleased with our progress over the last three to six months.",This text is about a weak consumer or reduced consumption.,
Aluminium consumption ex-China saw a contraction as the metals intensive manufacturing sector experienced little to no growth.,This text is about a strong consumer or increased consumption.,
"This caused a couple of weeks of impact on business, but it was not a critical – but it was a critical transition for us.",This text is about a strong consumer or increased consumption.,
"Lastly, we continue to execute our share repurchase program.",This text is about a weak consumer or reduced consumption.,
"We still had a negative impact of revenue recognition, partially offset by a systematic reduction in SG&A costs, which were down 11% compared to previous year.",This text is about a weak consumer or reduced consumption.,
"Given the decision to close that business, we've excluded its operating losses from our underlying results to assist in future period comparatives.",This text is about a strong consumer or increased consumption.,
"With that, I'll turn it back over to Dee for his closing remarks.",This text is about a weak consumer or reduced consumption.,
We're looking forward to the top line Phase 2 data in the third quarter.,This text is about a weak consumer or reduced consumption.,
I'm confident that Ron and Sarit will each provide important additional strengths to our board.,This text is about a strong consumer or increased consumption.,
We will now shift to the Q&A session.,This text is about a strong consumer or increased consumption.,
"As already explained in our fourth quarter trading update, while the year-over-year comparison continues to be impacted, we are excited that, in fact, the fourth quarter was the best quarter of the year for GTV, both in absolute as well as in relative terms.",This text is about a weak consumer or reduced consumption.,
"Here, we model them in square millimeters.",This text is about a strong consumer or increased consumption.,
" to the success and momentum of the program, we have been able to identify additional savings and accordingly are raising our cumulative run rate transformation savings target from $380 million to $425 million by the end of 2024.",This text is about a weak consumer or reduced consumption.,
"By owning that company, we could make that part of the offering to our in-house offering.",This text is about a weak consumer or reduced consumption.,
"We have Charterhouse, which is only a pre-primary and a prep school, and therefore, quite limited in a sense of what it could offer, okay.",This text is about a weak consumer or reduced consumption.,
"In the United States, sales increased by about $100 million year-on-year on a local currency basis, growing at 128%.",This text is about a strong consumer or increased consumption.,
I will now review our outlook for fiscal 2024.,This text is about a weak consumer or reduced consumption.,
"In addition, through our 80/20 approach, we continue to focus on higher quality, more differentiated projects and service lines.",This text is about a weak consumer or reduced consumption.,
"That in combination with our inorganic growth, robust margin expansion and execution of IRX, we expect to deliver a four-year CAGR in excess of 25% for adjusted EPS.",This text is about a strong consumer or increased consumption.,
"This quarter, we recorded a provision of $60 million for the Antitrust Litigation Contingency.",This text is about a strong consumer or increased consumption.,
I'm pleased to report that our traffic was up in the quarter in both our hard discount and market division.,This text is about a weak consumer or reduced consumption.,
Please also note these statements are being made as of today and we disclaim any obligation to update or revise them.,This text is about a strong consumer or increased consumption.,
"We believe we've only scratched the surface in our digital efforts and we'll continue to augment our conveniences in areas such as same-day delivery, in-app capabilities and personalization to deliver even more value to our members.",This text is about a strong consumer or increased consumption.,
And our colleagues at Exscientia have really been building for about the same amount of time this incredible precision chemistry platform.,This text is about a weak consumer or reduced consumption.,
"The yields will, as we discussed on the last page, be stable, and also we will have the fact coming back to that, that we have a portion of nonperforming loans in the book, and these will yield a lower return.",This text is about a strong consumer or increased consumption.,
"And for us, the most important thing for investors or one of the very important things for investors to understand is the role in which we play in what has transformed a country from very, very poor in 1966 at independence to now one of the top five GDPs in Africa.",This text is about a weak consumer or reduced consumption.,
"And also in Spain, same-store sales grew by 1.5%, supported by campaigns like ¡Gracias, Silvia!",This text is about a strong consumer or increased consumption.,
Its suite of investment capabilities also include legal finance and custom investment sourcing and management for insurance companies.,This text is about a weak consumer or reduced consumption.,
"The adjusted EBITDA margin in Northern Europe remains one of the industry's strongest and further improved to 4.8% of GTV in 2023, up from 4.2% in 2022.",This text is about a strong consumer or increased consumption.,
"A big shout out and  from a support point of view to our shareholders, mainly driven in both transactions by PROPELR, whose – PROPELR Growth Fund out of Toronto, who's obviously been with us for the last couple of years and very involved in our operations as well.",This text is about a strong consumer or increased consumption.,
Entry-level kitchens represented a higher proportion of kitchens we sold with sales of products in our joinery categories representing more of the sales mix.,This text is about a strong consumer or increased consumption.,
Hera Systems has developed a new class of high performance spacecraft to support the evolving requirements for national security missions in contested space.,This text is about a strong consumer or increased consumption.,
"Revenue from insurance grew 1.7% for the three months ended March 31, 2024, over the same period last fiscal year, and accounted for 9% of revenue.",This text is about a strong consumer or increased consumption.,
We continue to maintain our focus on exceeding expectations in Delaware.,This text is about a strong consumer or increased consumption.,
This is not simply a math exercise.,This text is about a weak consumer or reduced consumption.,
A number of factors could cause actual results to differ materially from those contained in any forward-looking statements.,This text is about a strong consumer or increased consumption.,
It discloses the reasons why we believe that these measures provide useful information to investors.,This text is about a strong consumer or increased consumption.,
I'd like to comment on the net dollar retention improvement.,This text is about a weak consumer or reduced consumption.,
"In terms of revenue, we did $37 million during the quarter, and that's roughly $6 million down from the prior year.",This text is about a strong consumer or increased consumption.,
"The program with Andrew McBain, Professor McBain in the oral cavity.",This text is about a weak consumer or reduced consumption.,
"This action comprised of integrating 2.6 million square feet of multipurpose space, transferring product and hiring labor, while completing systems implementations.",This text is about a weak consumer or reduced consumption.,
"In short, the presidency was clearly focused on electricity grids, on offshore developments, and on international collaboration.",This text is about a weak consumer or reduced consumption.,
"For today's call, Dennis will begin with an overview of the quarter and share an update on our strategic initiatives, followed by a review of our financials and guidance.",This text is about a weak consumer or reduced consumption.,
"When those discussions, both technical and commercial, are complete, of course, the minute we know there is something firm to say, we'll say it.",This text is about a weak consumer or reduced consumption.,
"So, of course, there are two big LNG exporter in that region.",This text is about a weak consumer or reduced consumption.,
I'm delighted to welcome you to the half one results for FY 2025.,This text is about a strong consumer or increased consumption.,
"With each of the 19 new E175s we received and financed for United, a CRJ700 contract expires simultaneously.",This text is about a strong consumer or increased consumption.,
"Let's look at the market trends, our outlook and strategic priorities and targets for the next three years.",This text is about a weak consumer or reduced consumption.,
They want it to work which it's done for years.,This text is about a weak consumer or reduced consumption.,
"On that note, our board of directors decided to propose the appointment of Frédéric Lissalde for three years terms as Director at the next annual general meeting.",This text is about a strong consumer or increased consumption.,
", Justin, and , everyone, for joining us today.",This text is about a strong consumer or increased consumption.,
"This is an exciting moment for us, as we embark on a new chapter.",This text is about a weak consumer or reduced consumption.,
We have a growing revenue stream that comes from our established business.,This text is about a strong consumer or increased consumption.,
"As mentioned prior, this figure was influenced by notable depreciation in local currencies within our markets, mostly significant in Pakistan, Bangladesh, Uzbekistan and Ukraine.",This text is about a strong consumer or increased consumption.,
"In fact, the adoption curve of our gently-cooked recipes has accelerated faster than we had projected.",This text is about a strong consumer or increased consumption.,
"For starters, we divested our Mobility business for $2.2 billion and returned the majority of those net proceeds to shareholders through a robust buyback program.",This text is about a strong consumer or increased consumption.,
I would expect us to have substantially crystallized our thinking by this summer in time for the half year results.,This text is about a weak consumer or reduced consumption.,
"As always, we will continue to focus on safe operations, along with being good stewards of the environment where we work and live as part of our broader sustainability efforts.",This text is about a weak consumer or reduced consumption.,
We remain very comfortable with the risk profile of the bank's portfolio.,This text is about a strong consumer or increased consumption.,
Additional investments in innovative projects amounted to more than €57 million with a target of €30 million by 2023.,This text is about a weak consumer or reduced consumption.,
"Then I'll provide some typical comments on the modeling helpers we provide in the CFO Commentary document that we posted on our website, and I'll conclude my prepared remarks with a few comments on cash, M&A, and capital management.",This text is about a weak consumer or reduced consumption.,
"We have initiated our Phase 2 study of mosli in PH-ILD and we have clinical data coming, including namilumab in sarcoidosis by the end of this quarter.",This text is about a strong consumer or increased consumption.,
"So, if you suffer from erosive GERD, keep an eye out for VOQUEZNA ads on your devices starting later this month.",This text is about a weak consumer or reduced consumption.,
"As you could notice, we came in a bit stronger, and that is despite the fact that most of the downside was already materialized during the quarter.",This text is about a strong consumer or increased consumption.,
"Following the presentation, we will open the line for Q&A. And finally, just to remind you, we will be talking in constant currency and US dollars unless we state otherwise.",This text is about a strong consumer or increased consumption.,
This playbook is powered by the increased marketing investment we discussed with you earlier this year.,This text is about a strong consumer or increased consumption.,
So – and that is the reason why we see this decline in revenue from SEK 1.9 million to SEK 1.5 million or SEK 1.6 million.,This text is about a weak consumer or reduced consumption.,
"On an annual basis, this would represent an increase of 6.25% versus dividends declared in 2023.",This text is about a weak consumer or reduced consumption.,
"And while it doesn't immediately contribute meaningfully to loan balance growth, it's the kind of business that builds real franchise value.",This text is about a weak consumer or reduced consumption.,
Net investment income for the quarter was $34 million or $0.53 per share as compared to $33.1 million or $0.51 per share for the prior quarter.,This text is about a weak consumer or reduced consumption.,
"Air France is honored to be an official partner of the games, and all our teams are extremely excited in making this milestone a great success.",This text is about a weak consumer or reduced consumption.,
"Over the last four years, we have quadrupled this percentage of penetration.",This text is about a strong consumer or increased consumption.,
"EBITDA in Austria in the quarter grew close to 2%, 1.8%, and keep in mind, as I said on the highlights that we have usually salary increases starts at the beginning of the year, while indexation starts in April.",This text is about a weak consumer or reduced consumption.,
"Finally, I would like to talk to you about ESG.",This text is about a weak consumer or reduced consumption.,
"On the pricing front, the targeted pricing investments are key value items rolled out in April and May have successfully recalibrated our competitiveness against key peers.",This text is about a strong consumer or increased consumption.,
"On the segment level, we expect Precision Medicine and Manufacturing segment revenue to grow low-single digit percent on a year-over-year basis.",This text is about a weak consumer or reduced consumption.,
You know the key levers of supporting the transformation of the group.,This text is about a weak consumer or reduced consumption.,
", Philip, and  again to everyone for joining us on today's call.",This text is about a strong consumer or increased consumption.,
"And we added nearly 6 million new buyers in the first quarter, down year-over-year, but still a very healthy proof point in this type of macro climate, well above pre-pandemic levels.",This text is about a weak consumer or reduced consumption.,
"Forward-looking statements may include, but are not necessarily limited to, financial projections or other statements of the company's plans, objectives, expectations, or intentions.",This text is about a strong consumer or increased consumption.,
"Loss from operations as a percentage of net revenues for the fourth quarter of 2023 was negative 216.0%, compared with negative 304.2% in the fourth quarter of 2022.",This text is about a strong consumer or increased consumption.,
Sandrine will cover the details later.,This text is about a strong consumer or increased consumption.,
I would like to thank Bob for the invaluable contribution he has made towards Ebusco.,This text is about a strong consumer or increased consumption.,
"While I joined only after the first quarter was already over, I will provide a short summary of the first quarter results.",This text is about a strong consumer or increased consumption.,
"In Enterprise, Government and Wholesale, we have continued to grow revenue and gross margin despite challenging market conditions.",This text is about a strong consumer or increased consumption.,
"Finally, we executed on our commitment to return capital to shareholders with $106 million of share repurchases.",This text is about a weak consumer or reduced consumption.,
It is a classic customer intimacy business.,This text is about a strong consumer or increased consumption.,
"Our adjusted operating margin for this segment declined 460 basis points versus Q3 2023, mainly driven by lower volumes, FX and the continued investments in our distribution partnerships and sales coverage.",This text is about a strong consumer or increased consumption.,
"As a reminder, before we begin, the company has a slide deck to accompany the  today.",This text is about a weak consumer or reduced consumption.,
"If we adjust for that, the order intake was slightly higher than net sales for the region.",This text is about a strong consumer or increased consumption.,
"But even in its early stages, we are already seeing results.",This text is about a weak consumer or reduced consumption.,
I won't go through all of the numbers on Slide 30.,This text is about a strong consumer or increased consumption.,
I'll go a little deeper into our financial highlights for the third quarter.,This text is about a weak consumer or reduced consumption.,
"However, there will be no cash flow impact going forward until XOMA receives their specified return and we begin sharing equally in the DOD royalties and the milestones.",This text is about a weak consumer or reduced consumption.,
There is the second major driver that will be improving our Biomed efficiencies this year and into the future.,This text is about a strong consumer or increased consumption.,
"On behalf of the management board of Deutsche EuroShop, I'm delighted to have this conference call with you and share our preliminary results for the financial year 2023 and the development of our company with you.",This text is about a weak consumer or reduced consumption.,
"In a tough environment, we are satisfied that the premium brand portfolio outperformed our core beer portfolio, which is a testament to the strength of our brands and a testament to the decision to focus even more on premium.",This text is about a strong consumer or increased consumption.,
"Over to India, where we have our twin engines of growth, Fortis and Gleneagles hospitals.",This text is about a weak consumer or reduced consumption.,
"Although our volumes in France were down by mid-single-digit, we outperformed the market, supported by brands such as Grimbergen, Brooklyn and 1664.",This text is about a weak consumer or reduced consumption.,
Then Ryan will discuss our financial objectives for the next three years.,This text is about a weak consumer or reduced consumption.,
"In 2023, obviously, this region was hurt very much by the situation in China at the beginning of the year.",This text is about a strong consumer or increased consumption.,
A copy of the press release is available on the Investor Relations page of the company's website at fdus.com.,This text is about a strong consumer or increased consumption.,
"As part of the settlement the quarter includes a $23 million reduction in Legacy Projects revenue, an additional $7 million in gross margin, which Amanda will further discuss later.",This text is about a weak consumer or reduced consumption.,
"Additionally, the eBay Foundation granted nearly $7 million in Q2 to strategic nonprofits which are addressing and removing barriers to entrepreneurship for historically excluded groups.",This text is about a weak consumer or reduced consumption.,
"Our passive liveness detection and biometric solutions have earned strong recognition from this, and more recently, the Department of Homeland Security, highlighting our commitment to excellence in the field, technical capabilities and innovation in a rapidly changing fraud environment.",This text is about a weak consumer or reduced consumption.,
"So, the GDC share price increased 90% last year and it's up AUD 3 and it's up about AUD 3.50 today.",This text is about a strong consumer or increased consumption.,
"As I said in May, to achieve the planned levels of output from the field, we need high infrastructure reliability, which we've achieved.",This text is about a weak consumer or reduced consumption.,
"The offshore wind farm in Hornsea, what we're looking out there is some of the ancillaries to – we're not building the turbines or the monopiles, but there's a lot of ancillary steel work required on these towers which we're tendering So, finally for the UK and Europe, we just want to spend a couple minutes on the Modular Solutions business which is a small but we believe is quite significant growth potential.",This text is about a strong consumer or increased consumption.,
"PIInovators team won with a cloud-native data solution, integrating OpenAI for documents analysis, particularly for detecting personally identifiable information in files and images.",This text is about a weak consumer or reduced consumption.,
What you expect from us this year?,This text is about a strong consumer or increased consumption.,
Margins were maintained despite the input cost increases have passed through and wireless broadband grew to 31% of our base.,This text is about a weak consumer or reduced consumption.,
"Excluding one-time items such as severance and a donation to Minnesota Housing, noninterest expense grew 2.4%.",This text is about a strong consumer or increased consumption.,
It is these customers who are driving our silicon carbide volume in 2024 and we also count on these customers for 2025.,This text is about a weak consumer or reduced consumption.,
"While these improvements take time, we believe we have the right team in place for the journey and we expect to begin seeing results in margin expansion in the second quarter.",This text is about a weak consumer or reduced consumption.,
Today's call will last approximately 45 minutes.,This text is about a strong consumer or increased consumption.,
"We expect run rate FFO will be $2.38, up 80 basis points from 2023.",This text is about a strong consumer or increased consumption.,
New book sales for workforce optimization solution were strong in the first quarter.,This text is about a weak consumer or reduced consumption.,
We would like to share with you the pillars of this new strategy before moving to other steps.,This text is about a weak consumer or reduced consumption.,
The Q2 loss may also be a concern.,This text is about a strong consumer or increased consumption.,
Propane as a percentage of WTI has averaged 44% since the start of this year compared with 36% in the fourth quarter of 2023.,This text is about a weak consumer or reduced consumption.,
We have the upcoming Graves data from IMVT – from batoclimab and an overview of our IMVT-1402 development plans this fall.,This text is about a strong consumer or increased consumption.,
"On slide 19, we comment about our net debt and our level of leverage, which increased in the quarter due to the consumer – consumption of operating cash, which we observed, and the concentration of payments of semiannual interests which are more concentrated in the second and fourth quarters of each year, and the inclusion of an acquisition to pay for because of the participation of 25% acquired in a joint venture with Unimed Nacional, which closing occurred in the fourth quarter of 2023.",This text is about a weak consumer or reduced consumption.,
"This growth is particularly noteworthy, especially within such a short timeframe and it highlights the success of our efforts to strengthen the direct channels.",This text is about a weak consumer or reduced consumption.,
"And on the left-hand side, you can see that at the end of the quarter, we have a 1.3% allowance to total loan coverage ratio in the multi-family portfolio.",This text is about a weak consumer or reduced consumption.,
"And the fourth driver is price, although less so than in the recent past due to the impact of the inflation and pricing pressure from Asian competitors.",This text is about a strong consumer or increased consumption.,
"Starting with the balance sheet, loan growth was strong again in Q2, increasing a $104 million for the quarter, yields in the loan portfolio were 5.52% for the quarter which was 11 basis points higher than Q1.",This text is about a strong consumer or increased consumption.,
All other financial terms remain the same.,This text is about a weak consumer or reduced consumption.,
"Net overheads were up year-on-year to AUD 117.3 million, however, as previously guided, we reduced overheads in the second half of 2024 relative to the first half of 2024.",This text is about a strong consumer or increased consumption.,
"Now, specific to the US, we saw 170% US patch growth.",This text is about a strong consumer or increased consumption.,
"We've started the year hard at work to deliver on the £30 million to £60 million EBITDA synergies ambition, which is the bar on the left.",This text is about a weak consumer or reduced consumption.,
Consumer spending increased versus a low comparative period to support retail segment growth initiatives.,This text is about a strong consumer or increased consumption.,
"So lots going on, on the beverage front in 2023.",This text is about a strong consumer or increased consumption.,
"We generated $14 million in cash from operations during the quarter and used $2 million in capital expenditures, primarily capitalized software costs.",This text is about a weak consumer or reduced consumption.,
"And also some of the conversions or some of the customers coming from the Marketing Services base have come over on promotional pricing where that represents an opportunity for rate in the future, which will be great, but that's just introducing a little bit of noise into our ARPU number.",This text is about a strong consumer or increased consumption.,
"And as for our ESG efforts, we are happy to come first place in the corporate governance scoring rating in SDAX and the scorecard evaluate several topics around AGMs, annual report, transparency and governance, like the Declaration of Conformity and accounting.",This text is about a strong consumer or increased consumption.,
"This indicates that while Web sales are important part of our strategy, there is still significant potential for growth, particularly in Lithuania.",This text is about a weak consumer or reduced consumption.,
"The investments made in the value chain in recent years will enable us to reach an annual volume of 362,000 tonnes.",This text is about a weak consumer or reduced consumption.,
We make our customers' lives easier.,This text is about a strong consumer or increased consumption.,
"We have already obtained the Green Seal for Alto Palermo, Patio Bullrich, and Alcorta.",This text is about a strong consumer or increased consumption.,
"This is an exciting market for us, given its adjacency to Colombia and shared media markets, meaning that many of the soccer TV broadcast that we market on in Colombia are viewed by consumers in Peru.",This text is about a strong consumer or increased consumption.,
"Since then, from cash resources, we've repaid £175 million of our term loan, which has a margin of 175 basis points, while supplementing our liquidity with a new flexible £150 million ESG-linked RCF, which has a margin of only 90 basis points.",This text is about a weak consumer or reduced consumption.,
"During a tumultuous period for the semiconductor industry, we have taken control of our destiny and are strategically investing to win.",This text is about a weak consumer or reduced consumption.,
"We expect CapEx this year to be in the range of €500 million to €550 million, broadly consistent with 2023 with an average annual CapEx of about €350 million for the subsequent years from 2025 to 2028.",This text is about a strong consumer or increased consumption.,
I'll begin with a brief update on our current development pipeline.,This text is about a weak consumer or reduced consumption.,
"Today, 39 wells have been turned to sales in the Shelby Trough under our development agreement with Aethon.",This text is about a strong consumer or increased consumption.,
"For VEOZAH, we are anticipating continued linear growth from the second quarter onwards by promoting payer coverage and DTC steadily mainly in the United States.",This text is about a weak consumer or reduced consumption.,
The loan is interest-only and provides for a floating interest rate of SOFR plus 3.98%.,This text is about a weak consumer or reduced consumption.,
Last year posed big challenges for the whole industry.,This text is about a weak consumer or reduced consumption.,
"So from you are diagnosed until you no longer respond to therapy, less than six months, and you can expect to live less than 10 months.",This text is about a weak consumer or reduced consumption.,
"So, what was the outcome with the strong orders from airlines with our customers?",This text is about a weak consumer or reduced consumption.,
"That compares to interest expense of $260,000 and $1.5 million in the prior quarter and year ago, respectively.",This text is about a weak consumer or reduced consumption.,
"And with that financial overview, we will turn the call over to our operator for questions.",This text is about a strong consumer or increased consumption.,
"We will see a increased amount of interest cost, but we are looking at incremental cost of funds being moderate.",This text is about a strong consumer or increased consumption.,
We also have prequalified our asset into aFRR.,This text is about a strong consumer or increased consumption.,
"Turning to slide 13, before I share the updated data, it's helpful to take a look at the natural trajectory of patients treated with SMN-targeted therapy.",This text is about a weak consumer or reduced consumption.,
"Given our company's growing multibillion dollar franchise in INGREZZA, the potential of crinecerfont as our next blockbuster.",This text is about a weak consumer or reduced consumption.,
The increase in net debt relates to the additional funds drawn down to fund the OMP acquisition of AUD 53 million.,This text is about a weak consumer or reduced consumption.,
We have several opportunities throughout the remainder of 2024 that we expect to lead to increase in both our deposit activity and number of accounts.,This text is about a strong consumer or increased consumption.,
Medical revenues were $140 million and Industrial revenues were $50 million.,This text is about a weak consumer or reduced consumption.,
This was primarily driven by the revenue decline that we've seen in the Professional Services segment.,This text is about a strong consumer or increased consumption.,
I will now turn the call over to Mr. Ma.,This text is about a weak consumer or reduced consumption.,
Please keep these factors in mind when you analyze our comments today.,This text is about a weak consumer or reduced consumption.,
"As a reminder, our detailed financials can be found in our shareholder letter.",This text is about a strong consumer or increased consumption.,
" for the summary and happy to take the calls from our friends, the analysts.",This text is about a strong consumer or increased consumption.,
"By now, everyone should have access to our third quarter 2024 earnings press release filed today after market close.",This text is about a strong consumer or increased consumption.,
"This increase was largely driven by two single-family loans to the same borrower, one of which has already been made current.",This text is about a weak consumer or reduced consumption.,
"Yesterday, at the close of the market, we announced the results of our fourth quarter and full year 2023.",This text is about a weak consumer or reduced consumption.,
"The numbers will be a little confusing, obviously, when we publish the 10-Q here later on this week, there'll be more information.",This text is about a weak consumer or reduced consumption.,
"With that, Renju, please open up the lines for questions.",This text is about a weak consumer or reduced consumption.,
"And he's a fantastic team, actually a broad set of skills with depth in each function.",This text is about a strong consumer or increased consumption.,
"On April 30, 2024, Rimini Street refinanced its outstanding term loan, of which $70.9 million was outstanding with a new five-year senior secured credit facility comprised of a $75 million term loan, and a $35 million revolving line of credit at rates of SOFR plus a rate in the range of 2.75% to 3.5%.",This text is about a strong consumer or increased consumption.,
"On an annual basis, we are profitable on a GAAP basis for 2023, the first time since 2018.",This text is about a strong consumer or increased consumption.,
Q4 sales were $990 million.,This text is about a weak consumer or reduced consumption.,
The $3.1 billion of NBP generated last year added over 7% to our opening embedded value balance and over 10% to the opening value of in-force.,This text is about a weak consumer or reduced consumption.,
IHOP system sales continued their positive momentum in 2023 with same-restaurant sales growth of 3.5%.,This text is about a strong consumer or increased consumption.,
"Comparing this multiple to those of other traditional and alternative asset managers, which suggest potential upside to our valuation.",This text is about a strong consumer or increased consumption.,
"And profit attributable to owners of parent was ¥119.6 billion, up about approximately ¥23.2 billion compared to the previous fiscal year.",This text is about a weak consumer or reduced consumption.,
"Fourth quarter consolidated revenues were down 2% and Industrial net sales declined 5%, as South American markets remained soft and we under-produced low-horsepower tractors in North America.",This text is about a strong consumer or increased consumption.,
"As you can see, we are providing a series of Last quarter, we introduced our strategy to be the trusted platform that enables our partners to thrive, and I want to take a moment to delve a little deeper into that.",This text is about a weak consumer or reduced consumption.,
"We touched on the revenues earlier, so let us go straight to the net profits.",This text is about a strong consumer or increased consumption.,
We have positive discussions on refinancing.,This text is about a weak consumer or reduced consumption.,
"So overall, the journey continues at full speed through 2024, but we are certainly pleased with the progress made both in the UK and across this category.",This text is about a weak consumer or reduced consumption.,
"The strength in advertising was primarily driven by sponsored products, supported by continued improvements in relevancy and measurement capabilities for advertisers.",This text is about a strong consumer or increased consumption.,
"And finally, we returned approximately $28.9 million to our shareholders through share repurchases, enabled by the ongoing strength of our operating model.",This text is about a weak consumer or reduced consumption.,
"Our actual results may differ materially from those that may be expressed or implied due to a wide range of factors, including those set forth in our SEC filings.",This text is about a strong consumer or increased consumption.,
The driver of the current working capital deficit is the current portion of the senior secured note owed to Partner Colorado Credit Union and a deferred consideration owed to Abaca shareholders due in November of 2024.,This text is about a strong consumer or increased consumption.,
"Core diluted earnings per share was $2.30, which is $0.07 above the midpoint of our guidance range.",This text is about a strong consumer or increased consumption.,
"Before we begin our prepared remarks, I would like to advise everyone that we will be making forward-looking statements based on our current expectations and beliefs.",This text is about a strong consumer or increased consumption.,
"I'll begin with the balance sheet and the improvement in our net interest margin, which increased again this quarter to 1.50%, up 14 basis points from the 1.36% we reported in the second quarter and 33 basis points above what we reported in the first quarter, our normal seasonal low point.",This text is about a weak consumer or reduced consumption.,
"Of course, a Phase 2a study is not a randomized study so there's, per se, no control arm.",This text is about a weak consumer or reduced consumption.,
It's our first commercial line and the success of this test means that Origin's proprietary system is performing as envisioned with over 98% efficiency during the acceptance test.,This text is about a weak consumer or reduced consumption.,
I will now turn the call over to Tom.,This text is about a strong consumer or increased consumption.,
"Second, while I typically talk about growth rates excluding the impact of year-over-year changes in foreign exchange, we did see an unfavorable impact from global currencies weakening against the US dollar more than we had planned in Q1.",This text is about a strong consumer or increased consumption.,
It shows us and it gives us a lot of confidence that our multichannel strategy works well.,This text is about a weak consumer or reduced consumption.,
"Across our specialty businesses, which comprised of both Specialty Products and Solutions and Performance Brands, we achieved the highest production volume in the last five years.",This text is about a strong consumer or increased consumption.,
The most relevant number on this slide is the nearly BRL 5 billion of capital raised as a DIP Loan during the first semester.,This text is about a weak consumer or reduced consumption.,
"For the full year 2024, we expect negative 2% to positive 2% revenue growth, driven primarily by three quarters of projected deflation, masking mid- to high-single-digit unit growth.",This text is about a weak consumer or reduced consumption.,
Let's now switch to the additional guidance elements for FY 2024.,This text is about a weak consumer or reduced consumption.,
"Moving on to our financial results for the fourth quarter, revenue in the fourth quarter was $1.427 billion, exceeding the midpoint of our guidance, growing 1% on a year-over-year and sequential basis.",This text is about a weak consumer or reduced consumption.,
"To do that, again we're integrating lots of technologies together, like the certificates, mobile device management systems, look at mobile security, physical access control systems, et cetera.",This text is about a weak consumer or reduced consumption.,
Wealth management income totaled SGD 4.32 billion and contributed to one-third of the group's total income.,This text is about a strong consumer or increased consumption.,
"It does take a while in the city of Portland, Maine, to get things done, but we expect some pretty large returns when finally open.",This text is about a strong consumer or increased consumption.,
"We purchased the loan from As rates escalated, the value of the servicing right increased, especially over the last several quarters.",This text is about a weak consumer or reduced consumption.,
"If I could draw your attention to the Safe Harbor statement on slide 2, I'd like to remind participants that our presentation includes some forward-looking statements about Monro's future performance.",This text is about a weak consumer or reduced consumption.,
Our $2.6 billion in Etsy marketplace GMS represented a 5.3% decline on a year-over-year basis.,This text is about a strong consumer or increased consumption.,
"As a result, we were able to release on average CHF 23 million trade net working capital into cash.",This text is about a weak consumer or reduced consumption.,
